Year,Asia,China,HK,India,Japan,Korea
1952,1649.797,400.4486,3054.421,546.5657,3216.956,1030.592
1957,2120.083,575.987,3629.076,590.062,4317.694,1487.594
1962,2790.333,487.674,4692.648,658.3472,6576.649,1536.344
1967,3877.691,612.7057,6197.963,700.7706,9847.789,2029.228
1972,5505.305,676.9001,8315.928,724.0325,14778.79,3030.877
1977,6801.663,741.2375,11186.14,813.3373,16610.38,4657.221
1982,8277.145,962.4214,14560.53,855.7235,19384.11,5622.942
1987,10660.58,1378.904,20038.47,976.5127,22375.94,8533.089
1992,13301.39,1655.784,24757.6,1164.407,26824.9,12104.28
1997,15387.16,2289.234,28377.63,1458.817,28816.58,15993.53
2002,16582.73,3119.281,30209.02,1746.769,28604.59,19233.99
2007,20428.1,4959.115,39724.98,2452.21,31656.07,23348.14
